calls	60656
3_self_span	12	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/05_emit_go.dag
3_self_span	11	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/05_emit_python.dag
3_self_span	206	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/05_emit_rust.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/annotation_bind.dag
3_self_span	16	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/artifact.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/coercion.dag
3_self_span	45	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/compile.dag
3_self_span	157	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/complexity.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/dag_collect.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/dag_collect_support.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/expected_red_roster_join.dag
3_self_span	9	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/frontend_observation.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/gunbc/namespace_reference_derived_closure_production_observations.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/gunbc/occurrence_binding_parser_walk.dag
3_self_span	34	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/languages.dag
3_self_span	19	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/ownership.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/stage0_crates.dag
3_self_span	16	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/trace.dag
3_self_span	102	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/trait_derive_emit.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1847	dag/std/algebra.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1888	dag/std/algebra.dag
