index,x_mm,y_mm,pad_dia_mm
678,23.2599,29.0572,0.46
679,24.2558,29.0572,0.46
680,25.2516,29.0572,0.46
681,26.2830,29.0572,0.46
682,27.2789,29.0572,0.46
683,28.2747,29.0572,0.46
684,29.2705,29.0572,0.46
685,30.2664,29.0572,0.46
686,31.2622,29.0572,0.46
687,-31.2267,28.1680,0.46
688,-30.2308,28.1680,0.46
689,-29.2350,28.1680,0.46
690,-28.2391,28.1680,0.46
691,-27.2433,28.1680,0.46
692,-26.2119,28.1680,0.46
693,-25.2516,28.1680,0.46
694,-24.2558,28.1680,0.46
695,-23.2244,28.1680,0.46
696,-22.2285,28.1680,0.46
697,-21.2327,28.1680,0.46
698,-20.2369,28.1680,0.46
699,-19.2410,28.1680,0.46
700,-18.2452,28.1680,0.46
701,-17.2138,28.1680,0.46
702,-16.2535,28.1680,0.46
703,-15.2221,28.1680,0.46
704,-14.2263,28.1680,0.46
705,-13.2304,28.1680,0.46
706,-12.2346,28.1680,0.46
707,-11.2388,28.1680,0.46
708,-10.2073,28.1680,0.46
709,-9.2471,28.1680,0.46
710,-8.2512,28.1680,0.46
711,-7.2198,28.1680,0.46
712,-6.2240,28.1680,0.46
713,-5.2282,28.1680,0.46
714,-4.2323,28.1680,0.46
715,-3.2365,28.1680,0.46
716,-2.2406,28.1680,0.46
717,-1.2448,28.1680,0.46
718,0.7824,28.1680,0.46
719,1.7783,28.1680,0.46
720,2.7386,28.1680,0.46
721,3.7700,28.1680,0.46
722,4.7658,28.1680,0.46
723,5.7616,28.1680,0.46
724,6.7575,28.1680,0.46
725,7.7533,28.1680,0.46
726,8.7847,28.1680,0.46
727,9.7450,28.1680,0.46
728,10.7764,28.1680,0.46
729,11.7722,28.1680,0.46
730,12.7681,28.1680,0.46
731,13.7639,28.1680,0.46
732,14.7598,28.1680,0.46
733,15.7556,28.1680,0.46
734,16.7514,28.1680,0.46
735,17.7828,28.1680,0.46
736,18.7431,28.1680,0.46
737,19.7745,28.1680,0.46
738,20.7704,28.1680,0.46
739,21.7662,28.1680,0.46
740,22.7620,28.1680,0.46
741,23.7579,28.1680,0.46
742,24.7893,28.1680,0.46
743,25.7495,28.1680,0.46
744,26.7810,28.1680,0.46
745,27.7768,28.1680,0.46
746,28.7726,28.1680,0.46
747,29.7685,28.1680,0.46
748,30.7643,28.1680,0.46
749,-31.7246,27.3678,0.46
750,-30.7643,27.3678,0.46
751,-29.7329,27.3678,0.46
752,-28.7371,27.3678,0.46
753,-27.7412,27.3678,0.46
754,-26.7454,27.3678,0.46
755,-25.7495,27.3678,0.46
756,-24.7181,27.3678,0.46
757,-23.7579,27.3678,0.46
758,-22.7265,27.3678,0.46
