code	block	manifestation	file	line	col	expected	found	mechanism	e0308_candidate_projection	message
E0599	81	1	src/v2_std_cross_tree_resolution.rs	103	17			UNCLASSIFIED		no associated function or constant named `Empty` found for struct `im::Vector<A>` in the current scope
E0223	82	1	src/v2_std_cross_tree_resolution.rs	104	5			UNCLASSIFIED		ambiguous associated type
E0425	83	1	src/v2_std_layer.rs	38	5			UNCLASSIFIED		cannot find function `layer_import_facts` in this scope
E0308	84	1	src/v2_std_passing_candidate_fold.rs	34	83	T	&T	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	84	2	src/v2_std_passing_candidate_fold.rs	34	83	_	&_	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	85	1	src/std_checked_arithmetic.rs	305	12	Rc<i64>	i64	UNCLASSIFIED	R1	mismatched types
E0308	86	1	src/v2_std_algebra.rs	152	63	T	&T	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	86	2	src/v2_std_algebra.rs	152	63	_	&_	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	87	1	src/v2_std_logic.rs	53	5	Bool	True	UNCLASSIFIED	B2	mismatched types
E0308	88	1	src/v2_std_logic.rs	54	5	Bool	False	UNCLASSIFIED	B2	mismatched types
E0308	89	1	src/v2_std_logic.rs	57	5	Bool	True	UNCLASSIFIED	B2	mismatched types
E0308	90	1	src/v2_std_logic.rs	58	5	Bool	False	UNCLASSIFIED	B2	mismatched types
E0308	91	1	src/v2_std_logic.rs	61	5	Bool	True	UNCLASSIFIED	B2	mismatched types
E0308	92	1	src/v2_std_logic.rs	62	5	Bool	False	UNCLASSIFIED	B2	mismatched types
E0308	93	1	src/std_measure.rs	488	18	Rc<i64>	i64	UNCLASSIFIED	R1	mismatched types
E0369	94	1	src/std_measure.rs	508	109			UNCLASSIFIED		cannot add `{integer}` to `Rc<i64>`
E0599	95	1	src/v2_std_staging.rs	16	39			ABSENT_CLONE_BOUND		no method named `clone` found for type parameter `A` in the current scope
E0277	96	1	src/v2_std_staging.rs	16	22			ABSENT_CLONE_BOUND		the trait bound `C: Clone` is not satisfied
E0308	97	1	src/v2_std_staging.rs	31	53	B	&B	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	97	2	src/v2_std_staging.rs	31	53	_	&_	ABSENT_CLONE_BOUND	A-clone	mismatched types
E0308	98	1	src/v2_std_text.rs	65	59	i64	Box<i64>	UNCLASSIFIED	BOX-WRAP	mismatched types
E0308	99	1	src/std_realization_schedule.rs	64	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), _, i64>>	UNCLASSIFIED	D	mismatched types
E0308	99	2	src/std_realization_schedule.rs	64	11	Rc<Measure<_, S, Rc<i64>>>	Rc<Measure<_, _, i64>>	UNCLASSIFIED	D	mismatched types
E0308	100	1	src/std_realization_schedule.rs	74	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	UNCLASSIFIED	R1	mismatched types
E0308	100	2	src/std_realization_schedule.rs	74	11	Rc<Measure<_, _, Rc<i64>>>	Rc<Measure<_, _, i64>>	UNCLASSIFIED	R1	mismatched types
E0308	101	1	src/std_realization_schedule.rs	83	19	Rc<Measure<_, _, i64>>	Rc<Measure<(), S, Rc<i64>>>	UNCLASSIFIED	D	mismatched types
E0308	102	1	src/std_state_durability.rs	152	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	UNCLASSIFIED	ELEM-COLL	mismatched types
E0308	103	1	src/std_state_durability.rs	163	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>	UNCLASSIFIED	ELEM-COLL	mismatched types
E0308	104	1	src/std_state_durability.rs	291	152	StateDefinitionCallerAssertion	Vector<Rc<StateDefinitionCallerAssertion>>	UNCLASSIFIED	ELEM-COLL	mismatched types
E0308	105	1	src/std_state_durability.rs	636	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	UNCLASSIFIED	ELEM-COLL	mismatched types
E0277	106	1	src/std_state_durability.rs	661	266			UNCLASSIFIED		can't compare `Target` with `Target`
E0277	107	1	src/std_state_durability.rs	661	266			UNCLASSIFIED		can't compare `ReadbackSubject` with `ReadbackSubject`
E0277	108	1	src/std_state_durability.rs	679	265			UNCLASSIFIED		can't compare `Target` with `Target`
E0277	109	1	src/std_state_durability.rs	679	265			UNCLASSIFIED		can't compare `ReadbackSubject` with `ReadbackSubject`
E0277	110	1	src/std_state_durability.rs	817	109			UNCLASSIFIED		can't compare `Target` with `Target`
E0277	111	1	src/std_state_durability.rs	817	109			UNCLASSIFIED		can't compare `ReadbackSubject` with `ReadbackSubject`
E0277	112	1	src/std_state_durability.rs	842	106			UNCLASSIFIED		can't compare `Target` with `Target`
E0277	113	1	src/std_state_durability.rs	842	106			UNCLASSIFIED		can't compare `ReadbackSubject` with `ReadbackSubject`
