v2.test.extdeps_shape_transport_policy.corpus.gist_create_policy_leak.corpus_gist_create_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_github_gists_module	no such function: extdeps_github_gists_module
v2.test.extdeps_shape_transport_policy.corpus.git_policy_leak.corpus_git_policy_leak_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_git_module	no such function: extdeps_git_module
v2.test.extdeps_shape_transport_policy.corpus.runtime_local_embedded_policy.corpus_runtime_local_embedded_policy_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_runtime_local_module	no such function: extdeps_runtime_local_module
v2.test.extdeps_shape_transport_policy.coverage_domain_equivalence_test.extdeps_shape_transport_policy_coverage_domain_equivalence_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_policy_leak_cargo_build_lens_unit_module	no such function: witness_policy_leak_cargo_build_lens_unit_module
v2.test.extdeps_shape_transport_policy.lens_unit.clean_gist_create.clean_gist_create_is_green_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_github_gists_module	no such function: extdeps_github_gists_module
v2.test.extdeps_shape_transport_policy.lens_unit.clean_git_diff.clean_git_diff_is_green_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_git_module	no such function: extdeps_git_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_cargo_build.dead_param_cargo_build_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_cargo_clippy.dead_param_cargo_clippy_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.dead_param_gcp_login.dead_param_gcp_login_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_gcp_module	no such function: extdeps_gcp_module
v2.test.extdeps_shape_transport_policy.lens_unit.embedded_policy_literal_local.embedded_policy_literal_local_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_runtime_local_module	no such function: extdeps_runtime_local_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_resolves_by_qn_not_filepath_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_path_rename.module_path_rename_unknown_qn_does_not_resolve_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	bogus_extdeps_module	no such function: bogus_extdeps_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_green.module_source_nickname_literal_exempt_literals_is_green_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	module_source_nickname_literal_green_module	no such function: module_source_nickname_literal_green_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_coverage_domain_green.module_source_nickname_literal_coverage_domain_is_green_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	coverage_domain_equivalence_module	no such function: coverage_domain_equivalence_module
v2.test.extdeps_shape_transport_policy.lens_unit.module_source_nickname_literal_local_red.module_source_nickname_literal_local_red_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	module_source_nickname_literal_local_red_module	no such function: module_source_nickname_literal_local_red_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_build.policy_leak_cargo_build_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_doc.policy_leak_cargo_doc_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.policy_leak_cargo_fmt.policy_leak_cargo_fmt_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.lens_unit.transport_fusion_gcp_oauth.transport_fusion_gcp_oauth_is_red_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_gcp_module	no such function: extdeps_gcp_module
v2.test.fact_cardinality.lens_unit.synthetic_fork_red.synthetic_fork_red_holds	REFERENCE-UNAVAILABLE	R5-type-only	Dag	no such function: Dag
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_is_diagnostic	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_coproduct_exhaustiveness_diagnostic_claim	no such function: witness_coproduct_exhaustiveness_diagnostic_claim
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_anchor_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_coproduct_exhaustiveness_uses_generated_anchor	no such function: witness_coproduct_exhaustiveness_uses_generated_anchor
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_roster_covers_testclaim	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_coproduct_exhaustiveness_all_variants_emit	no such function: witness_coproduct_exhaustiveness_all_variants_emit
v2.test.claim.generated_conformance_floor.generated_coproduct_exhaustiveness_covers_every_coproduct	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_coproduct_exhaustiveness_generator_count	no such function: witness_coproduct_exhaustiveness_generator_count
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_is_equals	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_cross_representation_equality_is_equals	no such function: witness_cross_representation_equality_is_equals
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_anchor_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_cross_representation_equality_uses_generated_anchor	no such function: witness_cross_representation_equality_uses_generated_anchor
v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_bool	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_cross_representation_equality_covers_bool	no such function: witness_cross_representation_equality_covers_bool
