consumer_file	occurrence_name	occurrence_category	provider_module	provider_declaration	declaration_count	provider_in_loaded_closure	binding_outcome	first_root_diagnostic	downstream_diagnostic_count	disposition
dag/examples/interp_test/interp_example.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/access_authorization_profile_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/access_validation_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/acquisition_mechanism_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/actions_job_grant_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/advertising_interface_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/annotation_carrier_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/anomaly_evidence_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/artifact_store_scratch_grant_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/artifact_store_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/asrock_live_probe_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bach_double_slit_observation_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/bach_double_slit_path_additivity_synthetic_fixture_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
dag/test/claim/base64_rfc4648_witness_test.dag	SubstrateInputsOnly	value	v2.std.live_tree	variant of LiveTreeDisposition	0	unobserved	unbound	undefined variable 'SubstrateInputsOnly'	0	C-reclassify
